Ticker,Date,Action,Price,Shares,Capital,Shares Sold,Profit/Loss
SAVEQ,2024-10-04,Buy,1.690000057220459,295.0,1.4499831199645996,,
SAVEQ,2024-10-08,Sell,1.899999976158142,,561.9499760866165,295.0,61.949976086616516
SAVEQ,2024-10-11,Buy,1.6100000143051147,349.0,0.05997109413146973,,
SAVEQ,2024-10-14,Sell,1.649999976158142,,575.9099627733231,349.0,13.959986686706543
SAVEQ,2024-10-18,Buy,1.4700000286102295,391.0,1.1399515867233276,,
SAVEQ,2024-10-21,Sell,2.25,,880.8899515867233,391.0,304.97998881340027
SAVEQ,2024-10-22,Buy,2.109999895095825,417.0,1.0199953317642212,,
SAVEQ,2024-10-23,Sell,3.0799999237060547,,1285.379963517189,417.0,404.4900119304657
SAVEQ,2024-10-24,Buy,2.4200000762939453,531.0,0.35992300510406494,,
SAVEQ,2024-10-28,Sell,2.869999885559082,,1524.3298622369766,531.0,238.9498987197876
SAVEQ,2024-10-31,Buy,2.4000000953674316,635.0,0.32980167865753174,,
SAVEQ,2024-11-01,Sell,2.4700000286102295,,1568.7798198461533,635.0,44.449957609176636
SAVEQ,2024-11-04,Buy,2.3399999141693115,670.0,0.9798773527145386,,
SAVEQ,2024-11-11,Sell,3.4000000953674316,,2278.9799412488937,670.0,710.2001214027405
SAVEQ,2024-11-13,Buy,1.309999942779541,1739.0,0.8900407552719116,,
SAVEQ,2024-11-14,Sell,1.3200000524520874,,2296.370131969452,1739.0,17.390190720558167
SAVEQ,2024-11-20,Buy,0.12999999523162842,17664.0,0.0502161979675293,,
SAVEQ,2024-11-26,Sell,0.6800000071525574,,12011.570342540741,17664.0,9715.200210571289
SAVEQ,2024-11-27,Buy,0.5400000214576721,22243.0,0.34986525774002075,,
SAVEQ,2024-11-29,Sell,0.6399999856948853,,14235.869547069073,22243.0,2224.2992045283318
